Employee ID,FullName,Gender,Age,HireDate,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,AnnualSalary,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
E02012,Jameson Pena,Male,49,10/12/2003,Medical,Single,Development,Developer,Non-Travel,40499,24,3,1,49,1,1,3,2,No,14,3,9,5,3,5,2,1,4,No,3
E02013,Bella Wu,Female,63,8/3/2014,Medical,Divorced,Sales,Sales Executive,Travel_Frequently,71418,3,3,4,49,3,4,3,9,Yes,12,4,28,2,2,22,2,11,13,No,3
E02014,Jose Wong,Male,45,11/15/2017,Marketing,Divorced,Sales,Sales Executive,Travel_Rarely,150558,27,5,3,99,3,2,4,7,No,23,4,10,2,2,8,7,7,7,No,4
E02015,Lucas Richardson,Male,36,7/22/2018,Life Sciences,Single,Sales,Sales Representative,Travel_Rarely,118912,10,3,3,99,3,1,3,1,No,11,3,1,6,3,1,0,0,0,No,3
E02016,Jacob Moore,Male,42,3/24/2021,Medical,Divorced,Development,Developer,Travel_Frequently,131422,19,3,3,57,4,1,3,6,Yes,12,4,7,2,3,2,2,2,2,Yes,3
E02017,Luna Lu,Female,62,7/26/1997,Medical,Single,Development,Developer,Travel_Rarely,64208,8,2,2,96,3,2,3,3,No,11,4,10,2,3,5,1,4,3,No,3
E02018,Bella Tran,Female,45,8/5/2010,Human Resources,Married,Human Resources,Human Resources,Travel_Rarely,254486,3,3,3,44,4,2,2,9,No,15,3,12,3,1,8,3,3,6,No,3
E02019,Ivy Chau,Female,61,3/3/2019,Medical,Married,Development,Developer,Travel_Rarely,54811,9,3,3,81,3,4,4,7,No,11,3,30,1,2,10,7,1,1,No,3
E02020,Jordan Kumar,Male,29,11/11/2017,Medical,Single,Development,Developer,Travel_Rarely,95729,2,1,4,86,2,1,4,0,Yes,20,4,5,2,2,4,2,2,3,No,4
E02021,Sophia Gutierrez,Female,63,2/8/2009,Medical,Single,Development,Developer,Travel_Rarely,102649,7,3,4,55,2,2,1,8,No,19,1,9,2,1,7,6,0,7,No,3
E02022,Eli Dang,Male,45,11/16/2015,Marketing,Divorced,Sales,Sales Representative,Travel_Rarely,122875,10,3,4,83,3,1,2,1,No,14,4,2,2,3,2,2,2,2,No,3
E02023,Lillian Lewis,Female,43,8/14/2013,Life Sciences,Single,Development,Developer,Travel_Rarely,83323,6,3,4,86,3,2,4,2,No,17,4,19,4,3,2,2,2,2,No,3
E02024,Serenity Cao,Female,31,10/21/2018,Life Sciences,Divorced,Development,Senior Developer,Non-Travel,66721,2,4,4,61,3,2,1,2,No,11,1,16,2,4,1,0,0,0,No,3
E02025,Parker Lai,Male,48,11/29/2006,Life Sciences,Married,Development,Developer,Travel_Frequently,246400,24,4,1,80,3,2,4,1,No,15,4,10,2,3,10,8,4,7,No,3
E02026,Charles Simmons,Male,55,10/27/1997,Life Sciences,Divorced,Development,Developer,Travel_Rarely,113525,8,5,2,32,3,2,1,3,No,14,3,7,3,3,0,0,0,0,No,3
E02027,Jayden Luu,Male,64,5/13/2004,Marketing,Married,Sales,Manager,Travel_Rarely,184342,3,4,3,31,2,4,1,1,No,11,1,34,3,4,34,6,1,16,No,4
E02028,Brooks Richardson,Male,58,11/24/2020,Other,Single,Development,Developer,Travel_Rarely,151341,1,4,4,63,3,1,4,1,Yes,13,3,10,2,2,10,9,7,8,Yes,3
E02029,Ivy Thompson,Female,50,8/11/2004,Medical,Single,Sales,Sales Executive,Travel_Rarely,118900,26,1,3,32,3,2,4,1,No,23,2,6,5,2,6,5,1,4,No,4
E02030,Peyton Wright,Female,41,5/13/2017,Technical Degree,Single,Sales,Sales Representative,Travel_Rarely,153370,2,2,2,46,1,2,3,0,No,13,1,9,3,3,8,7,3,1,No,3
E02031,Wyatt Dinh,Male,50,3/15/2002,Medical,Single,Development,Developer,Travel_Rarely,72860,10,1,1,79,4,1,3,1,No,18,4,2,3,3,2,2,0,2,No,3
E02032,Ruby Alexander,Female,59,8/13/2001,Life Sciences,Single,Sales,Sales Executive,Travel_Frequently,255610,27,2,2,77,4,2,3,4,Yes,12,4,8,2,3,5,4,1,3,Yes,3
E02033,Axel Oh,Male,26,10/24/2020,Other,Single,Sales,Sales Executive,Travel_Rarely,84962,2,3,4,60,3,2,4,1,No,22,3,6,5,3,6,5,1,4,No,4
E02034,Axel Ramirez,Male,55,12/4/2017,Life Sciences,Single,Sales,Sales Executive,Non-Travel,103795,8,4,1,76,2,3,1,1,No,15,2,10,1,3,10,7,0,9,No,3
E02035,Liliana Chang,Female,32,1/11/2018,Medical,Married,Development,Developer,Non-Travel,97509,19,4,4,41,3,1,4,0,No,18,1,5,3,3,4,3,1,2,No,3
E02036,Leonardo Carter,Male,50,9/7/2022,Life Sciences,Divorced,Development,Developer,Travel_Frequently,54931,1,2,1,71,1,1,4,3,No,14,1,5,2,3,2,2,2,0,No,3
E02037,Landon Gonzales,Male,54,8/30/2009,Medical,Married,Development,Developer,Travel_Rarely,88689,27,3,2,66,3,2,3,4,No,12,1,11,3,2,8,7,1,1,No,3
E02038,Amelia Dominguez,Female,31,9/23/2015,Technical Degree,Single,Sales,Sales Executive,Travel_Rarely,158184,8,3,4,38,2,2,1,6,No,17,3,6,2,2,4,3,1,2,Yes,3
E02039,Silas Ross,Male,47,2/10/2016,Life Sciences,Single,Development,Developer,Travel_Rarely,48523,1,4,2,72,4,1,4,2,No,16,3,10,2,3,4,2,1,3,No,3
E02040,Jeremiah Cheng,Male,26,2/5/2022,Medical,Divorced,Development,Developer,Travel_Rarely,70946,19,4,4,95,3,2,1,9,Yes,11,2,9,4,3,5,3,1,4,No,3
E02041,Chloe Chin,Female,62,11/13/2021,Marketing,Married,Sales,Sales Executive,Travel_Frequently,134487,8,1,3,84,3,2,4,0,No,19,2,5,3,3,4,2,1,1,No,3
E02042,Ella Martinez,Female,35,4/6/2012,Life Sciences,Divorced,Development,Developer,Travel_Rarely,76111,10,1,4,82,3,1,1,0,Yes,13,2,6,3,2,5,3,4,3,No,3
E02043,Gianna Jones,Female,48,9/26/1998,Life Sciences,Single,Development,Developer,Travel_Frequently,119220,2,4,1,75,4,2,1,6,Yes,12,4,17,2,3,15,7,4,12,No,3
E02044,Austin Chow,Male,35,4/11/2021,Medical,Single,Development,Developer,Travel_Rarely,180858,2,4,3,86,2,1,1,1,No,11,3,6,3,3,6,5,1,3,No,3
E02045,Ella Chen,Female,45,11/10/2005,Life Sciences,Married,Sales,Sales Representative,Travel_Rarely,114072,8,4,1,72,3,1,4,1,No,16,2,3,1,2,3,2,0,2,No,3
E02046,Ruby Kaur,Female,26,6/26/2021,Medical,Married,Development,Developer,Travel_Frequently,91672,2,2,3,38,4,2,2,1,No,24,4,8,2,3,8,7,3,7,No,4
E02047,Savannah Morales,Female,48,1/26/2005,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,71542,8,2,3,93,3,2,1,5,No,17,2,6,1,3,3,2,1,2,No,3
E02048,Luca Powell,Male,33,12/18/2016,Life Sciences,Divorced,Development,Senior Developer,Non-Travel,54700,9,3,3,60,2,1,2,1,No,11,3,1,4,3,1,0,0,0,No,3
E02049,Parker Thao,Male,55,5/8/2011,Life Sciences,Married,Development,Senior Developer,Travel_Rarely,65022,11,4,4,82,3,2,3,8,No,20,2,9,3,3,5,2,1,4,No,4
E02050,Ryan Vo,Male,38,4/12/2011,Medical,Married,Development,Developer,Travel_Rarely,65109,2,3,3,64,3,4,3,5,No,16,4,30,3,3,4,3,0,3,No,3
E02051,Isabella Ngo,Female,49,1/1/2022,Life Sciences,Married,Development,Developer,Travel_Rarely,126598,1,2,2,36,2,1,1,1,Yes,11,4,1,1,3,1,0,0,0,Yes,3
E02052,Leah Vega,Female,52,6/7/2018,Medical,Married,Development,Developer,Travel_Rarely,72388,7,3,3,49,3,3,3,0,No,11,4,14,3,4,13,9,3,7,No,3
E02053,Jaxson Liu,Male,27,5/18/2021,Marketing,Single,Sales,Sales Executive,Travel_Rarely,205216,16,3,1,69,3,2,1,5,No,15,3,6,3,3,3,2,0,2,Yes,3
E02054,Santiago f Ross,Male,34,12/13/2012,Other,Married,Development,Developer,Travel_Rarely,74004,2,2,3,33,3,4,4,1,Yes,11,3,26,3,2,26,14,3,0,No,3
E02055,Layla Bell,Female,65,7/26/2001,Other,Married,Development,Developer,Travel_Rarely,203030,1,3,3,35,3,2,2,0,No,15,1,10,2,3,9,7,0,5,No,3
E02056,Bella Morales,Female,38,5/10/2016,Life Sciences,Married,Development,Senior Developer,Travel_Rarely,194864,23,2,3,81,4,1,3,1,No,24,3,10,3,3,10,7,0,7,No,4
E02057,Eliza Kang,Female,63,1/27/2002,Life Sciences,Single,Development,Senior Developer,Travel_Rarely,76659,1,4,4,40,4,1,3,3,No,13,3,7,0,3,2,2,2,2,No,3
E02058,Gabriel Reyes,Male,42,6/10/2005,Life Sciences,Married,Development,Developer,Travel_Rarely,101630,1,2,4,43,2,2,4,9,Yes,13,4,8,4,3,4,3,0,2,No,3
E02059,Piper Garcia,Female,60,11/24/1993,Medical,Single,Development,Developer,Travel_Rarely,126929,2,4,3,46,3,1,3,6,No,17,4,5,3,2,2,2,2,1,Yes,3
E02060,Jacob Cheng,Male,47,11/26/1999,Human Resources,Married,Human Resources,Human Resources,Travel_Rarely,155890,13,3,3,36,3,1,2,4,No,13,2,8,2,3,5,2,0,4,No,3
E02061,Nathan Hong,Male,50,10/2/2019,Medical,Single,Development,Developer,Travel_Frequently,150631,16,4,1,51,2,2,3,6,No,14,4,10,6,3,1,0,0,0,No,3
E02062,Chloe Kim,Female,39,7/6/2012,Medical,Single,Development,Developer,Travel_Rarely,72850,2,3,3,52,2,2,4,5,Yes,24,2,12,4,2,0,0,0,0,No,4
E02063,Isaac Guzman,Male,46,8/18/2010,Life Sciences,Single,Development,Developer,Travel_Rarely,57951,2,3,2,95,2,1,3,1,No,14,4,1,3,3,1,0,0,0,No,3
E02064,Julian Ford,Male,50,7/29/2010,Life Sciences,Married,Development,Developer,Travel_Rarely,70340,29,3,2,98,3,2,2,1,No,13,4,10,3,2,9,8,7,8,No,3
E02065,Kinsley Liang,Female,55,8/25/2008,Life Sciences,Divorced,Development,Developer,Travel_Frequently,98221,12,3,1,45,2,2,1,2,No,15,3,13,3,2,4,3,1,2,No,3
E02066,Wesley Yu,Male,43,9/24/2003,Marketing,Married,Sales,Sales Executive,Travel_Rarely,127175,11,3,3,43,3,3,4,1,No,18,1,9,3,4,9,8,7,7,Yes,3
E02067,Serenity Martin,Female,26,5/16/2021,Medical,Single,Sales,Sales Executive,Travel_Rarely,97542,2,1,3,37,3,2,4,4,No,16,3,12,3,2,9,7,7,3,Yes,3
E02068,Ethan Sanchez,Male,34,5/15/2019,Life Sciences,Married,Development,Developer,Travel_Rarely,81646,14,2,2,94,3,4,1,6,No,24,3,22,3,3,4,1,1,0,No,3
E02069,David Sanchez,Male,38,7/5/2009,Technical Degree,Divorced,Development,Developer,Travel_Rarely,182055,5,1,3,42,2,3,4,1,Yes,16,2,9,3,3,9,8,0,8,No,3
E02070,Elias Hsu,Male,35,1/23/2022,Other,Single,Development,Developer,Travel_Rarely,86777,7,3,3,59,3,3,3,3,No,21,2,17,3,4,8,5,1,6,No,4
E02071,Luca Phan,Male,39,6/17/2015,Marketing,Married,Sales,Sales Executive,Travel_Rarely,129949,2,4,2,81,3,2,2,1,Yes,20,1,8,2,3,8,7,7,5,No,3
E02072,Olivia Xi,Female,26,8/19/2020,Medical,Married,Development,Developer,Travel_Frequently,124535,5,2,3,88,2,1,3,1,Yes,14,1,8,2,3,8,7,1,7,Yes,3
E02073,Alice Luu,Female,60,7/17/1993,Medical,Married,Development,Developer,Non-Travel,81083,3,3,4,50,3,1,4,1,No,11,3,0,6,2,0,0,0,0,No,3
E02074,Leonardo Ng,Male,32,6/10/2019,Marketing,Married,Sales,Manager,Travel_Rarely,57727,26,4,1,66,3,4,3,2,No,14,3,29,2,2,20,6,4,17,No,3
E02075,Peyton Edwards,Female,65,7/11/2020,Medical,Single,Development,Developer,Travel_Rarely,59344,4,3,4,50,3,2,2,9,No,12,4,10,2,2,5,2,2,3,No,3
E02076,Axel Patel,Male,27,9/13/2022,Medical,Single,Development,Developer,Travel_Rarely,73203,2,1,1,65,4,1,1,7,No,13,3,6,3,2,4,3,0,1,No,3
E02077,Eva Chavez,Female,63,1/17/2004,Medical,Single,Development,Senior Developer,Travel_Rarely,83070,27,1,3,53,2,1,1,1,No,11,4,6,3,2,6,5,1,1,No,3
E02078,Savannah Lee,Female,51,7/22/2020,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,104008,1,2,2,56,3,2,4,1,Yes,14,4,18,1,2,18,14,4,11,No,3
E02079,Mia Grant,Female,43,2/16/2007,Marketing,Married,Sales,Sales Executive,Travel_Rarely,70923,7,2,1,78,2,3,4,7,Yes,18,4,35,3,3,5,2,0,4,No,3
E02080,Eli Richardson,Male,31,4/8/2018,Marketing,Divorced,Sales,Sales Executive,Travel_Rarely,159121,9,3,4,74,3,3,1,4,Yes,12,3,18,2,3,5,4,0,2,No,3
E02081,Eloise Perry,Female,26,12/2/2020,Medical,Married,Development,Developer,Travel_Rarely,88921,8,2,3,91,4,2,3,5,No,12,3,9,3,2,5,3,1,3,No,3
E02082,Ian Cheng,Male,46,8/30/2015,Marketing,Divorced,Sales,Sales Executive,Travel_Rarely,126704,16,4,4,66,2,2,3,4,No,19,4,9,2,3,1,0,0,0,No,3
E02083,Penelope Chan,Female,59,5/20/2012,Medical,Divorced,Human Resources,Human Resources,Travel_Rarely,57704,8,2,2,63,2,1,4,1,No,13,4,6,6,3,5,1,0,4,No,3
E02084,Sofia Vasquez,Female,52,7/29/1996,Life Sciences,Married,Development,Senior Developer,Travel_Rarely,191455,1,2,4,33,2,2,4,6,No,22,1,4,2,1,2,2,2,2,No,3
E02085,Anthony Baker,Male,31,6/3/2021,Life Sciences,Married,Development,Developer,Travel_Rarely,99937,8,4,1,62,4,1,4,2,Yes,24,3,10,2,2,3,2,0,2,No,3
E02086,Lucas Luong,Male,42,3/12/2008,Medical,Single,Development,Senior Developer,Travel_Frequently,40778,2,1,2,35,3,1,4,5,Yes,14,4,8,2,3,2,1,2,2,No,3
E02087,Xavier Patel,Male,53,11/16/2021,Life Sciences,Married,Human Resources,Human Resources,Travel_Rarely,187740,8,3,1,77,2,1,1,0,No,21,3,6,3,3,5,4,0,3,No,3
E02088,Robert Soto,Male,47,9/10/2008,Other,Married,Sales,Sales Executive,Travel_Rarely,72384,3,1,3,98,3,2,1,1,Yes,18,4,5,3,3,5,3,0,3,No,3
E02089,Nevaeh Jiang,Female,45,8/5/2016,Life Sciences,Divorced,Development,Developer,Travel_Frequently,143318,25,4,4,96,3,1,2,1,Yes,19,1,10,3,2,10,2,7,8,Yes,3
E02090,Chloe Reyes,Female,45,6/18/2008,Life Sciences,Divorced,Development,Developer,Non-Travel,191304,1,3,4,61,3,1,4,0,No,12,2,4,2,3,3,0,0,2,No,3
E02091,Lucy Edwards,Female,33,3/16/2015,Technical Degree,Married,Data Science,Data Scientist,Travel_Rarely,175875,1,3,3,36,3,1,1,2,No,16,2,7,2,3,4,2,0,2,No,3
E02092,Luna Edwards,Female,42,4/13/2014,Life Sciences,Married,Development,Senior Developer,Non-Travel,106726,4,1,1,46,2,1,4,0,No,17,4,6,2,2,5,2,3,4,No,3
E02093,Stella Daniels,Female,37,10/30/2011,Life Sciences,Married,Sales,Sales Executive,Travel_Frequently,72637,5,2,2,48,3,2,2,1,No,14,4,10,3,3,10,8,5,3,No,3
E02094,Ayla Ma,Female,27,12/5/2022,Marketing,Married,Sales,Sales Representative,Travel_Rarely,118304,9,3,2,98,2,1,2,0,No,19,4,3,3,3,2,2,1,2,No,3
E02095,Matthew Avila,Male,55,6/17/2003,Life Sciences,Married,Development,Senior Developer,Travel_Rarely,68592,11,4,4,48,3,1,4,3,Yes,19,2,8,2,3,6,4,0,2,No,3
E02096,Gianna Lim,Female,46,4/1/2006,Marketing,Married,Sales,Sales Executive,Travel_Rarely,42532,8,3,1,73,3,4,4,5,No,14,3,28,3,3,2,0,2,2,No,3
E02097,Joseph Tan,Male,37,8/20/2015,Medical,Married,Sales,Sales Representative,Travel_Frequently,65073,21,2,3,54,3,1,4,5,No,15,2,10,3,3,5,4,0,0,No,3
E02098,Connor Lai,Male,32,9/22/2019,Life Sciences,Single,Development,Developer,Travel_Rarely,111035,23,4,4,72,3,4,4,6,No,18,3,33,0,3,12,9,3,8,No,3
E02099,Ava Owens,Female,28,2/7/2020,Life Sciences,Married,Development,Developer,Travel_Frequently,63066,1,3,4,33,3,2,4,4,No,13,2,12,2,2,5,2,2,2,No,3
E02100,Dylan Aguilar,Male,49,3/27/2007,Marketing,Married,Sales,Sales Executive,Travel_Rarely,186192,2,2,3,35,3,2,4,0,Yes,22,1,8,2,3,7,6,7,7,No,4
E02101,Leah Zheng,Female,52,6/18/2016,Medical,Single,Sales,Sales Executive,Non-Travel,182938,19,2,1,32,3,3,2,1,Yes,13,4,10,2,3,10,0,0,9,No,3
E02102,Jade Pham,Female,61,12/12/2017,Life Sciences,Divorced,Development,Developer,Non-Travel,53931,2,4,1,98,3,4,1,1,No,11,4,31,3,3,31,6,14,7,No,3
E02103,Theodore Bui,Male,53,5/13/2012,Life Sciences,Married,Human Resources,Human Resources,Travel_Rarely,252140,2,3,4,42,2,2,4,8,No,11,3,13,2,3,5,4,0,4,No,3
E02104,Asher Chan,Male,40,8/18/2018,Human Resources,Divorced,Human Resources,Human Resources,Travel_Rarely,73041,3,2,4,57,3,1,2,3,Yes,11,3,7,4,4,4,3,0,3,No,3
E02105,Ezekiel Brown,Male,27,3/14/2022,Life Sciences,Single,Development,Developer,Travel_Rarely,120315,25,4,1,87,3,1,4,1,Yes,24,3,1,2,1,1,0,0,1,Yes,3
E02106,Peyton Allen,Female,26,11/23/2020,Life Sciences,Married,Development,Developer,Travel_Rarely,112264,9,2,2,61,3,1,1,1,Yes,13,4,8,0,3,8,7,7,1,No,3
E02107,Parker Joseph,Male,53,1/21/2000,Life Sciences,Divorced,Development,Developer,Travel_Frequently,55039,2,1,4,57,2,1,4,9,Yes,14,4,3,3,2,1,0,0,0,Yes,3
E02108,Kayden Ortiz,Male,33,7/29/2013,Medical,Single,Sales,Sales Representative,Travel_Rarely,134782,2,3,3,49,2,1,3,1,No,13,4,2,3,2,2,2,0,2,Yes,3
E02109,Lillian Desai,Female,27,12/12/2022,Other,Single,Data Science,Data Scientist,Travel_Rarely,92806,18,1,4,65,3,1,4,1,No,19,1,1,3,2,1,0,0,0,Yes,3
E02110,Avery Gutierrez,Female,56,7/2/2016,Life Sciences,Married,Data Science,Data Scientist,Travel_Rarely,181028,14,1,3,68,3,2,4,0,Yes,17,1,17,2,2,16,8,4,11,No,3
E02111,Caroline Sandoval,Female,36,10/3/2013,Life Sciences,Single,Sales,Sales Representative,Travel_Rarely,48117,2,4,4,65,2,1,4,1,Yes,18,1,3,3,2,3,2,1,2,No,3
E02112,Hailey Lim,Female,47,1/6/2005,Life Sciences,Married,Development,Developer,Travel_Rarely,192753,3,1,2,34,3,2,3,0,Yes,19,1,4,3,4,3,2,0,2,Yes,3
E02113,Roman Liang,Male,28,3/4/2021,Medical,Divorced,Development,Developer,Travel_Rarely,85206,9,3,3,77,3,1,3,5,No,18,2,6,2,3,2,2,2,2,No,3
E02114,Elias Rojas,Male,30,1/7/2018,Medical,Married,Development,Senior Developer,Travel_Rarely,58290,6,3,4,70,3,1,1,7,Yes,21,4,8,2,1,2,2,2,2,Yes,3
E02115,Quinn Lai,Female,58,8/28/2003,Life Sciences,Single,Development,Developer,Travel_Rarely,41946,4,3,2,76,3,1,3,1,No,19,3,1,2,3,1,1,0,0,No,3
E02116,Clara Le,Female,56,3/15/2021,Life Sciences,Divorced,Development,Developer,Travel_Rarely,79388,10,3,2,83,3,1,2,1,No,14,2,1,3,3,1,0,1,0,No,3
E02117,Chloe Yoon,Female,65,2/25/2002,Medical,Single,Sales,Sales Executive,Travel_Rarely,83854,14,2,3,68,2,2,3,7,No,17,1,10,6,3,5,4,0,3,No,3
E02118,Abigail Simmons,Female,29,4/24/2018,Other,Single,Development,Senior Developer,Travel_Rarely,126550,1,4,3,100,2,1,1,3,Yes,11,2,6,1,3,3,2,0,2,No,3
E02119,Ayla Espinoza,Female,60,10/1/1993,Technical Degree,Divorced,Development,Senior Developer,Travel_Rarely,199705,5,3,3,37,2,3,2,2,Yes,13,4,24,3,3,6,0,0,4,No,3
E02120,Nova Lin,Female,31,4/9/2019,Life Sciences,Married,Sales,Sales Representative,Travel_Rarely,201235,7,4,2,41,2,1,3,3,No,15,2,13,2,4,7,7,5,2,No,3
E02121,Sadie Singh,Female,45,3/16/2022,Life Sciences,Married,Development,Senior Developer,Travel_Rarely,182717,21,1,4,51,3,2,4,1,Yes,25,4,10,2,1,10,6,0,7,No,3
E02122,Aaron Powell,Male,30,9/11/2017,Medical,Married,Data Science,Data Scientist,Travel_Rarely,79975,20,4,4,51,3,1,3,4,No,17,1,13,2,2,0,0,0,0,No,3
E02123,Jameson Vargas,Male,36,7/24/2011,Marketing,Married,Sales,Sales Executive,Non-Travel,196554,20,2,4,45,3,2,3,1,No,13,4,9,2,2,9,8,0,0,No,3
E02124,Logan Young,Male,39,8/16/2010,Other,Single,Development,Developer,Travel_Rarely,239395,7,4,2,65,3,1,4,2,No,18,3,8,6,3,6,2,0,1,No,3
E02125,Wyatt Cheung,Male,44,7/25/2013,Technical Degree,Married,Development,Senior Developer,Travel_Rarely,53703,1,3,4,80,3,3,1,1,No,13,2,15,3,3,15,12,5,11,No,3
E02126,Lucas Zhu,Male,53,3/14/2011,Life Sciences,Married,Development,Senior Developer,Non-Travel,123480,1,3,3,70,2,1,2,6,No,20,3,5,3,3,3,0,0,2,No,4
E02127,Emily Hong,Female,46,1/9/2021,Marketing,Married,Sales,Sales Representative,Travel_Rarely,41197,19,2,3,36,2,1,2,1,Yes,18,3,1,2,3,1,0,0,0,Yes,3
E02128,Luke Ramos,Male,30,7/28/2018,Medical,Single,Development,Developer,Travel_Rarely,72463,6,3,4,59,3,1,1,2,Yes,13,3,20,3,3,18,13,2,17,No,3
E02129,Maya Gupta,Female,28,8/4/2019,Medical,Single,Development,Developer,Travel_Rarely,87675,2,4,3,79,3,1,3,4,No,21,3,16,6,3,11,8,3,9,No,4
E02130,Eliana Ha,Female,35,12/15/2020,Other,Single,Sales,Sales Representative,Travel_Rarely,55833,21,3,4,37,2,1,2,1,Yes,13,2,1,3,4,1,0,0,0,Yes,3
E02131,Lillian Cheng,Female,58,8/20/1996,Technical Degree,Single,Development,Developer,Travel_Rarely,58208,4,3,1,84,3,1,1,1,No,19,2,1,2,3,1,0,0,0,Yes,3
E02132,Alexander Pena,Male,47,5/24/2002,Medical,Married,Development,Developer,Travel_Rarely,75633,12,3,4,41,3,2,4,0,Yes,11,3,10,2,1,9,7,8,5,No,3
E02133,Leonardo Mai,Male,43,1/28/2007,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,79090,3,1,3,51,2,3,4,1,Yes,11,1,16,6,3,16,7,3,7,Yes,3
E02134,Jack Phillips,Male,47,7/27/2015,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,66138,1,4,1,46,2,3,3,5,No,11,3,17,2,1,14,1,11,7,Yes,2
E02135,Scarlett Delgado,Female,57,8/28/2013,Life Sciences,Married,Development,Developer,Non-Travel,80728,4,2,3,57,3,2,2,1,No,12,2,9,5,2,9,7,0,8,No,3
E02136,Jack Rogers,Male,47,2/1/2005,Technical Degree,Married,Sales,Sales Representative,Travel_Frequently,46202,20,3,3,84,3,1,4,1,No,15,2,3,5,3,3,1,0,2,No,3
E02137,Violet Huynh,Female,50,2/29/2008,Medical,Married,Sales,Sales Executive,Travel_Rarely,123096,18,3,3,86,3,2,3,1,No,16,2,5,3,3,5,2,1,0,No,3
E02138,Victoria Park,Female,27,3/18/2020,Life Sciences,Married,Development,Senior Developer,Travel_Rarely,45989,1,2,4,70,3,4,4,2,No,15,2,26,2,2,9,8,7,8,No,3
E02139,Elizabeth Rodriguez,Female,26,8/13/2021,Medical,Divorced,Sales,Manager,Travel_Rarely,140756,2,2,3,45,3,4,3,6,No,13,3,22,3,4,17,13,15,2,No,3
E02140,Samuel Kumar,Male,43,3/9/2009,Other,Divorced,Sales,Sales Executive,Travel_Rarely,85261,8,2,3,62,3,3,3,5,No,11,1,10,2,4,8,4,7,7,No,3
E02141,Zoe Maldonado,Female,49,9/25/1998,Life Sciences,Divorced,Sales,Sales Executive,Travel_Rarely,198222,3,4,4,92,3,3,4,6,No,13,2,12,2,3,10,9,0,8,No,3
